OTU ,T14F1,T14F2,T15F2,T15F3,T15F4,T16F4,T18F3,T9F4,T12F1,T12F2,T12F3,T13F1,T13F4,T18FF3,T9F2,T9FF4,T10,T12F4,T13F2,T13F3,T2F1,T3F2,T8F3,T10F1
ASV1,5148,4617,5374,5394,6335,8739,2298,1413,3956,4101,1934,2635,4054,2298,3273,2413,2173,1210,4793,4140,1340,1994,2878,4077
ASV2,3077,3440,1266,4833,4470,8325,2156,1378,3743,3902,1831,2503,4037,2156,3084,2778,2022,1226,4643,3997,1456,1124,2840,4119
ASV3,781,0,3283,3351,4133,941,0,183,876,978,288,717,509,983,519,483,2895,9790,2322,1599,1296,11165,3501,4333
ASV4,744,80,570,296,154,825,0,0,732,828,249,613,596,498,589,765,2795,9317,2217,1618,1319,10365,3428,4106
ASV5,749,737,29,86,106,0,1457,3459,2401,1352,1049,1224,1391,1457,1589,3459,0,0,0,35,26,73,203,0
ASV6,737,711,0,84,23,90,1480,3374,2424,1343,976,1189,1468,1480,1503,3374,0,0,76,55,0,108,209,0
ASV7,1985,1759,0,0,32,0,896,118,0,285,2698,1200,1381,896,111,118,0,0,0,0,0,0,0,0
ASV8,2074,1851,0,0,0,0,806,708,0,254,2476,1154,1413,806,0,0,0,0,0,0,0,0,0,0
ASV9,195,181,0,61,68,49,677,896,262,96,77,386,149,677,222,896,0,0,92,68,0,0,126,36
ASV10,210,212,75,77,86,0,746,910,290,95,86,384,136,746,237,910,0,0,99,0,0,0,134,0
ASV11,0,0,0,0,0,0,0,97,0,0,0,0,0,0,782,689,556,0,0,0,1852,879,0,0
ASV12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,786,475,0,0,0,1962,897,0,30
ASV13,1151,1183,0,0,23,0,1551,1604,1498,1153,1364,1175,879,1551,1119,1604,0,45,157,0,0,0,169,0
ASV14,449,562,0,0,0,0,353,0,0,195,861,391,424,353,0,0,0,0,0,0,0,0,0,0
ASV15,410,494,0,0,0,0,382,0,0,197,846,414,435,382,0,0,0,0,0,0,0,0,0,0
ASV16,34,0,155,166,106,106,0,79,0,0,0,0,60,0,60,79,0,0,94,325,0,114,224,29
ASV17,164,0,0,132,0,73,454,595,416,0,0,184,179,454,0,595,0,0,0,0,0,0,163,23
ASV18,245,492,0,0,12,0,0,0,440,589,557,712,698,212,412,278,0,0,0,0,0,0,0,0
ASV19,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,146,0,0,0,1294,566,0,0
ASV20,0,57,166,179,0,118,85,0,92,0,0,0,0,85,0,0,34,0,0,316,32,383,255,0
ASV21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,687,0,0
ASV22,251,269,0,0,0,0,166,115,71,97,574,210,438,166,116,115,0,0,0,0,0,0,0,0
ASV23,0,0,0,0,0,164,0,0,0,0,0,0,0,0,147,0,1132,0,0,0,16,0,0,0
ASV24,94,130,0,0,0,0,227,464,404,184,157,175,219,227,136,464,0,0,0,0,0,0,0,0
ASV25,0,0,0,77,77,35,73,126,119,139,64,0,0,73,77,126,11,0,0,141,0,106,0,0
ASV26,110,113,0,0,0,0,243,440,372,190,163,138,225,243,144,440,0,0,0,0,0,0,0,0
ASV27,99,93,0,0,48,28,88,239,102,128,99,151,54,88,0,239,0,0,59,67,24,0,0,0
ASV28,0,176,0,0,0,0,102,53,0,0,0,0,194,102,0,53,0,0,0,0,0,0,0,0
ASV29,0,268,689,1246,958,2276,0,0,0,0,0,208,0,0,233,0,357,2146,984,2466,1065,789,843,768
ASV30,0,0,220,135,356,234,0,0,0,0,0,282,70,0,260,0,378,187,283,457,265,334,384,378
ASV31,0,0,0,0,0,0,0,1907,0,0,0,0,0,0,0,1907,0,0,0,0,0,0,0,0
ASV32,68,0,9,0,0,0,113,266,0,0,0,0,0,113,121,266,73,0,0,61,0,0,0,0
ASV33,0,0,76,0,47,0,63,58,0,0,0,0,0,63,54,58,0,0,71,152,0,36,176,0
ASV34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,119,0,0,104,49,1065,0
ASV35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,62,0,0,203,42,0,59
ASV36,0,0,79,128,0,0,0,0,24,0,0,0,0,0,35,0,73,0,82,122,16,0,188,0
ASV37,0,69,27,0,70,0,0,112,0,0,0,95,68,0,63,112,0,35,44,168,18,89,32,35
ASV38,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,104,269,1004,0
ASV39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,79,0,212,234,0,71
ASV40,86,100,0,0,0,0,279,0,230,0,0,0,0,279,108,0,0,0,0,0,0,2,0,0
ASV41,30,41,0,0,0,0,217,298,254,67,71,149,97,217,48,298,0,0,0,0,0,0,0,0
ASV42,27,49,0,0,0,0,220,264,260,68,94,140,100,220,30,264,0,0,0,0,0,0,0,0
ASV43,130,108,0,0,0,63,101,0,0,0,0,0,64,101,0,0,0,0,0,0,0,0,0,0
