SampleID,Group,Distance,Nitrate,Nitrite,DO,Copper,Mercury,Arsenic,Biocide,Escherichia-Shigella,Cetobacterium,Aeromonas,Aeromicrobium,Pseudomonas,Cutibacterium,Ruegeria,Staphylococcus,Stenotrophomonas,Streptococcus,unclassified,Psychrobacter,Sphingobacterium,Enterococcus,Vibrio
T14F1,Urban,25,2.5,1.6,5.6,76,112,12,86,5345,3077,781,744,6723,405,2,1315,34,271,57,2,226,167,2
T14F2,Urban,25,2.3,1.4,6.1,82,186,28,88,4739,3440,0,80,6476,426,12,1232,57,758,275,32,297,124,284
T15F2,Rural,275,1.8,1.1,7.2,2,2,2,2,5374,1266,3328,570,184,107,1,32,321,0,468,2,2,9,941
T15F3,Rural,275,2.1,0.9,6.7,2,2,2,2,5394,4833,3351,296,411,162,10,132,345,0,155,2,2,48,1381
T15F4,Rural,275,1.6,0.8,8.7,2,2,2,2,6335,4470,4133,154,315,154,4,23,106,12,260,2,2,48,1314
T16F4,Rural,275,1.3,0.9,7.6,2,2,2,2,8739,8325,941,825,143,83,6,73,224,28,303,164,2,135,2512
T18F3,Urban,25,2.5,1.2,5.4,112,212,6,28,2649,2156,2,2,6098,1508,7,2249,85,457,315,2,472,325,2
T9F4,Urban,25,2.1,1.4,5.2,136,198,23,36,1413,1579,340,36,8464,1883,97,2505,79,330,731,75,1233,626,111
T12F1,Urban,25,2.8,1.5,5.9,98,145,36,34,4423,3743,876,732,5456,566,8,2028,178,500,501,2,967,189,2
T12F2,Urban,25,2.6,1.7,4.8,46,89,2,28,4286,3902,1015,828,3922,191,3,1195,0,589,363,36,428,128,2
T12F3,Urban,25,1.9,1.2,5.2,156,312,24,136,2131,1831,288,249,9713,189,56,1364,0,602,614,18,356,99,24
T13F1,Urban,25,2.5,1.8,5.7,112,213,28,14,2836,2503,717,613,6071,785,6,1504,0,827,201,2,417,178,612
T13F4,Urban,25,2.9,1.3,5.3,98,156,32,88,4054,4088,509,596,7172,327,45,1129,60,961,159,2,529,54,72
T18FF3,Urban,25,3.1,1.7,4.9,86,145,45,77,2649,2156,983,498,6098,1508,6,2249,85,669,315,2,472,325,2
T9F2,Urban,25,3.4,1.9,5.2,72,128,28,28,3381,3122,519,589,3486,459,1474,1155,60,516,392,163,322,144,526
T9FF4,Urban,25,3.2,1.2,5.1,88,136,26,86,2413,2979,640,801,7756,1883,1475,2505,79,608,731,75,1233,626,111
T10,Rural,275,1.6,0.9,7.9,2,2,2,2,2173,2022,2895,2795,73,2,1074,2,34,0,1748,1577,2,73,735
T12F4,Rural,275,1.2,1.1,8.2,2,2,2,2,1210,1226,9790,9317,39,2,3,45,0,0,119,2,2,2,2358
T13F2,Rural,275,1.1,0.5,8.7,2,2,2,2,4816,4712,2436,2217,229,243,4,175,94,0,85,2,2,59,1267
T13F3,Rural,275,1.8,0.9,6.6,2,2,2,2,4140,3997,1636,1693,552,68,5,151,641,31,726,2,2,128,3152
T2F1,Rural,275,1.5,0.7,8.2,2,2,2,2,1340,1456,1296,1319,42,4,3865,16,32,0,2999,16,2,24,1352
T3F2,Rural,275,1.3,0.7,7.4,2,2,2,2,2014,1124,11165,10365,217,6,1776,0,497,151,2241,49,2,2,1123
T8F3,Rural,275,1.7,0.8,7.4,2,2,2,2,2878,2840,3501,3428,994,260,2,332,479,0,337,2,2,2,1325
T10F1,Rural,275,1.6,0.6,7.5,2,2,2,2,4077,4119,4333,4106,165,36,30,23,29,6,254,2,2,2,1192
